js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,C1ROZM01,13.8664,49.605,524.0,Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,AKS1
Rožnov pod Radhoštěm,Rožnov pod Radhoštěm,Rožnov pod Radhoštěm,O3ROZN01,18.138224,49.461251,375.0,Rožnov pod Radhoštěm,Rožnov pod Radhoštěm,AKS4
Rychnov nad Kněžnou,Rychnov nad Kněžnou,Rychnov nad Kněžnou,H2RYCH01,16.270033,50.164879,335.0,Rychnov nad Kněžnou,Rychnov nad Kněžnou,AKS1
Rýmařov,Rýmařov,Rýmařov,O1RYMA01,17.296111,49.931389,578.0,Rýmařov,Rýmařov,AKS4
Řendějov. Nový Samechov,"Řendějov, Nový Samechov","Řendějov, Nový Samechov",P3REND01,15.08814,49.76873,444.0,Řendějov,Řendějov. Nový Samechov,ASS
Seč,Seč,Seč,H3SECA01,15.6479,49.844725,529.0,Seč,Seč,AKS1
Sedlec,Sedlec,Sedlec,B2SEDC01,16.120556,49.170833,474.0,Sedlec,Sedlec,AMS
Sedlice,Sedlice,Sedlice,C1SEDL01,13.9419,49.3756,511.0,Sedlice,Sedlice,AKS3
Semčice,Semčice,Semčice,P2SEMC01,15.0036,50.3671,234.0,Semčice,Semčice,AKS4
Semily,Semily,Semily,P2SEMI01,15.315007,50.613006,370.0,Semily,Semily,ASS
Skuteč,Skuteč,Skuteč,H3SKUT01,15.996141,49.834881,457.0,Skuteč,Skuteč,AKS2
Slaný,Slaný,Slaný,P1SLAN01,14.090481,50.236779,307.0,Slaný,Slaný,ASS
Slatina nad Zdobnicí,Slatina nad Zdobnicí,Slatina nad Zdobnicí,H2SLAZ01,16.3875,50.1375,401.0,Slatina nad Zdobnicí,Slatina nad Zdobnicí,ASS
Slatiny. Milíčeves,"Slatiny, Milíčeves","Slatiny, Milíčeves",H3SLAT01,15.393348,50.379018,254.0,Slatiny,Slatiny. Milíčeves,ASS
Slezská Harta,Slezská Harta,Slezská Harta,O1HART01,17.575278,49.888611,516.0,Slezská Harta,Slezská Harta,AKS3
Smolnice,Smolnice,Smolnice,U1SMOL01,13.85617,50.30872,345.0,Smolnice,Smolnice,AKS1
Sněžník,Sněžník,Sněžník,U1SNEZTT,14.10717,50.79367,716.0,Sněžník,Sněžník,TOTAL
Sokolov,Sokolov,Sokolov,L3SOKO01,12.639266,50.176985,407.0,Sokolov,Sokolov,AKS2
Staňkov,Staňkov,Staňkov,L1STAN01,13.067369,49.552537,362.0,Staňkov,Staňkov,AKS1
Staré Hutě,Staré Hutě,Staré Hutě,B2STHU01,17.2883,49.1372,427.0,Staré Hutě,Staré Hutě,ASS
Staré Město,Staré Město,Staré Město,B1STME01,17.4322,49.0917,221.0,Staré Město,Staré Město,AKS1
Staré Město pod Sněžníkem. Paprsek,"Staré Město pod Sněžníkem, Paprsek",Paprsek,O2PAPR01,16.988889,50.209444,1001.0,Staré Město pod Sněžníkem,Staré Město pod Sněžníkem. Paprsek,AKS4
Staré Sedlo. Darmyšl,"Staré Sedlo, Darmyšl","Staré Sedlo, Darmyšl",L2DARM01,12.878357,49.639765,448.0,Staré Sedlo,Staré Sedlo. Darmyšl,ASS
Stod,Stod,Stod,L1STOD01,13.166901,49.639696,337.0,Stod,Stod,ASS
