js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Abertamy,Abertamy,Abertamy,L3ABER01,12.816447,50.367742,893.0,Abertamy,Abertamy,ASS
Aš,Aš,Aš,L3AS0001,12.179572,50.220602,675.0,Aš,Aš,AKS1
Bahno,Bahno,Bahno,H3BAHN01,15.234033,49.866846,420.0,Bahno,Bahno,ASS
Bečov nad Teplou,Bečov nad Teplou,Bečov nad Teplou,L3BECO01,12.836679,50.0824,529.0,Bečov nad Teplou,Bečov nad Teplou,ASS
Bedřichov,Bedřichov,Bedřichov,U2BEDR01,15.13708,50.81511,777.0,Bedřichov,Bedřichov,AKS1
Bechyně,Bechyně,Bechyně,C2BECH01,14.469444,49.299444,409.0,Bechyně,Bechyně,ASS
Bělá pod Pradědem. Červenohorské sedlo,"Bělá pod Pradědem, Červenohorské sedlo",Červenohorské sedlo,O1BECS01,17.154264,50.125009,1010.0,Bělá pod Pradědem,Bělá pod Pradědem. Červenohorské sedlo,ASS
Bělotín,Bělotín,Bělotín,O1BELO01,17.8042,49.5869,306.0,Bělotín,Bělotín,AKS1
Benešov,Benešov,Benešov,P3BENS01,14.69668,49.78862,343.0,Benešov,Benešov,ASS
Bernartice,Bernartice,Bernartice,C1BERN01,14.389167,49.366111,485.0,Bernartice,Bernartice,ASS
Bezvěrov,Bezvěrov,Bezvěrov,L2BEZV01,13.054363,49.993664,699.0,Bezvěrov,Bezvěrov,ASS
Bílá. Konečná,"Bílá, Konečná","Bílá, Konečná",O1BILA01,18.5233,49.4547,720.0,Bílá,Bílá. Konečná,AKS2
Bílý Potok. Smědava,"Bílý Potok, Smědava","Bílý Potok, Smědava",U2SMED01,15.27318,50.84452,834.0,Bílý Potok,Bílý Potok. Smědava,AKS4
Bílý Újezd. Hroška,"Bílý Újezd, Hroška","Bílý Újezd, Hroška",H2BILU01,16.209938,50.234904,319.0,Bílý Újezd,Bílý Újezd. Hroška,ASS
Bohumín. Záblatí,"Bohumín, Záblatí","Bohumín, Záblatí",O1BOHU01,18.3692,49.882,237.0,Bohumín,Bohumín. Záblatí,AKS2
Bojkovice,Bojkovice,Bojkovice,B1BOJK01,17.81,49.0402,310.0,Bojkovice,Bojkovice,AKS3
Borkovice,Borkovice,Borkovice,C2BORK01,14.636825,49.207925,419.0,Borkovice,Borkovice,AKS2
Borohrádek,Borohrádek,Borohrádek,H2BORH01,16.086691,50.105254,254.0,Borohrádek,Borohrádek,AKS2
Borová Lada,Borová Lada,Borová Lada,C1BLAD01,13.661958,48.99055,898.0,Borová Lada,Borová Lada,AKS3
Borovno. Míšov,"Borovno, Míšov","Borovno, Míšov",L1BORO01,13.727867,49.623944,651.0,Borovno,Borovno. Míšov,ASS
Boseň. Mužský,"Boseň, Mužský","Boseň, Mužský",P2BOSE01,15.0404,50.5222,382.0,Boseň,Boseň. Mužský,ASS
Božanov,Božanov,Božanov,H3BOZN01,16.361634,50.525216,426.0,Božanov,Božanov,ASS
Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,P2BRAN01,14.660559,50.189691,179.0,Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,AKS1
Branná. Františkov,"Branná, Františkov","Branná, Františkov",O2BRAN01,17.0129,50.1324,548.0,Branná,Branná. Františkov,ASS
Brno. Tuřany,"Brno, Tuřany","Brno, Tuřany",B2BTUR01,16.688889,49.153056,241.0,Brno,Brno. Tuřany,AMS
Brno. Žabovřesky,"Brno, Žabovřesky","Brno, Žabovřesky",B2BZAB01,16.5677,49.2165,236.0,Brno,Brno. Žabovřesky,AKS1
Brod nad Dyjí,Brod nad Dyjí,Brod nad Dyjí,B2BROD01,16.5358,48.8733,177.0,Brod nad Dyjí,Brod nad Dyjí,AKS1
Broumov,Broumov,Broumov,H3BROU01,16.343617,50.569966,373.0,Broumov,Broumov,AKS1
Brtnice,Brtnice,Brtnice,B2BRTN01,15.6753,49.3069,517.0,Brtnice,Brtnice,ASS
Březnice,Březnice,Březnice,C1BREZ01,13.9461,49.5542,493.0,Březnice,Březnice,ASS
Bukovinka,Bukovinka,Bukovinka,B2BUKA01,16.798889,49.296944,511.0,Bukovinka,Bukovinka,ASS
Byňov,Byňov,Byňov,C2BYNO01,14.799947,48.816603,475.0,Byňov,Byňov,AKS1
Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,B2BYSP01,16.25401,49.52416,553.0,Bystřice nad Pernštejnem,Bystřice nad Pernštejnem,AKS1
Bystřice pod Hostýnem,Bystřice pod Hostýnem,Bystřice pod Hostýnem,B1BYSH01,17.6706,49.3964,314.0,Bystřice pod Hostýnem,Bystřice pod Hostýnem,AKS2
Čachrov,Čachrov,Čachrov,L1CACH01,13.301694,49.264136,729.0,Čachrov,Čachrov,ASS
Čáslav. Nové město,"Čáslav, Nové město","Čáslav, Nové město",H3CASL01,15.3942797,49.901695,251.0,Čáslav,Čáslav. Nové město,AKS3
Černá v Pošumaví,Černá v Pošumaví,Černá v Pošumaví,C1CERP01,14.1072,48.7356,740.0,Černá v Pošumaví,Černá v Pošumaví,AKS1
Černovice. Dobešov,"Černovice, Dobešov","Černovice, Dobešov",C2CERN01,14.9625,49.3575,580.0,Černovice,Černovice. Dobešov,AKS2
Černý Důl,Černý Důl,Černý Důl,H1CDUL01,15.712563,50.648678,715.0,Černý Důl,Černý Důl,ASS
Červená,Červená,Červená,O1CERV01,17.541944,49.777222,748.13,Červená,Červená,AMS1
Červená Voda,Červená Voda,Červená Voda,O2CERO01,16.742859,50.04034,535.0,Červená Voda,Červená Voda,ASS
Česká Kubice,Česká Kubice,Česká Kubice,L1CKUB01,12.857804,49.367941,549.0,Česká Kubice,Česká Kubice,ASS
Česká Lípa,Česká Lípa,Česká Lípa,U2CELI01,14.541141,50.675373,246.0,Česká Lípa,Česká Lípa,AKS2
Česká Skalice. Rozkoš,"Česká Skalice, Rozkoš","Česká Skalice, Rozkoš",H1CSKL01,16.061111,50.363056,290.0,Česká Skalice,Česká Skalice. Rozkoš,AKS2
České Budějovice.Rožnov,"České Budějovice,Rožnov","České Budějovice, Rožnov",C2CBUD01,14.469722,48.951944,394.6,České Budějovice,České Budějovice.Rožnov,AMS2
České Meziříčí,České Meziříčí,České Meziříčí,H2CMEZ01,16.041312,50.282295,255.0,České Meziříčí,České Meziříčí,ASS
Český Dub. Modlibohov,"Český Dub, Modlibohov","Český Dub, Modlibohov",P2CDUB01,14.981635,50.683677,355.0,Český Dub,Český Dub. Modlibohov,AKS4
Český Krumlov. Přísečná,"Český Krumlov, Přísečná","Český Krumlov, Přísečná",C2CKRU01,14.33935,48.832242,554.0,Český Krumlov,Český Krumlov. Přísečná,AKS2
Český Rudolec,Český Rudolec,Český Rudolec,B2CRUD01,15.322222,49.073333,520.0,Český Rudolec,Český Rudolec,ASS
Děčín,Děčín,Děčín,U2DECI01,14.20258,50.75097,162.0,Děčín,Děčín,AKS2
Děčín. Těchlovice,"Děčín, Těchlovice","Děčín, Těchlovice",U2DECT01,14.20433,50.69783,150.0,Děčín,Děčín. Těchlovice,ASS
Desná. Souš,"Desná, Souš","Desná, Souš",P2DESN01,15.319286,50.789354,772.0,Desná,Desná. Souš,AKS1
Deštné v Orlic. horách,Deštné v Orlic. horách,Deštné v Orlic. horách,H2DEST01,16.351959,50.306667,656.0,Deštné v Orlic. horách,Deštné v Orlic. horách,AKS1
Dlouhé Stráně. Kouty nad Desnou,"Dlouhé Stráně, Kouty nad Desnou",Dlouhé Stráně,O2DSDN01,17.1794408,50.0854114,765.0,Dlouhé Stráně,Dlouhé Stráně. Kouty nad Desnou,ASS
Dobřany,Dobřany,Dobřany,H2DOBN01,16.281744,50.322178,627.0,Dobřany,Dobřany,MSS
Dobřichovice,Dobřichovice,Dobřichovice,P1DOBE01,14.27585,49.9335,205.0,Dobřichovice,Dobřichovice,AKS2
Doksany,Doksany,Doksany,U1DOKS01,14.17,50.45889,158.0,Doksany,Doksany,AMS1
Doksy,Doksy,Doksy,U2DOKY01,14.66731,50.56811,284.0,Doksy,Doksy,AKS1
Dolní Bousov,Dolní Bousov,Dolní Bousov,P2DBOU01,15.141737,50.437897,244.0,Dolní Bousov,Dolní Bousov,AKS3
Dolní Dvůr. Rudolfov,"Dolní Dvůr, Rudolfov","Dolní Dvůr, Rudolfov",H1DDVU01,15.655815,50.654592,560.0,Dolní Dvůr,Dolní Dvůr. Rudolfov,ASS
Domažlice,Domažlice,Domažlice,L1DOMA01,12.922385,49.444716,458.0,Domažlice,Domažlice,AKS1
Dřevohostice,Dřevohostice,Dřevohostice,B1DREV01,17.586111,49.424444,238.0,Dřevohostice,Dřevohostice,ASS
Dubí,Dubí,Dubí,U1DUBI01,13.80214,50.68056,402.0,Dubí,Dubí,ASS
Dubicko,Dubicko,Dubicko,O2DUBI01,16.9662,49.8269,282.0,Dubicko,Dubicko,AKS3
Dukovany,Dukovany,Dukovany,B2DUKO01,16.134444,49.095556,400.15,Dukovany,Dukovany,AMS1
Dvoračky,Dvoračky,Dvoračky,P2DVOR01,15.514525,50.748172,1115.0,Dvoračky,Dvoračky,AKS4
Dyjákovice,Dyjákovice,Dyjákovice,B2DYJA01,16.2925,48.769,187.0,Dyjákovice,Dyjákovice,AKS1
Dyleň,Dyleň,Dyleň,L2DYLE01,12.502849,49.968079,939.0,Dyleň,Dyleň,AKS2
Dymokury,Dymokury,Dymokury,H3DYMO01,15.201165,50.248346,208.0,Dymokury,Dymokury,ASS
Džbánice,Džbánice,Džbánice,B2DZBA01,16.2084664,49.0022497,337.0,Džbánice,Džbánice,ASS
Filipova Huť,Filipova Huť,Filipova Huť,C1FILHTT,13.5192,49.0294,1112.0,Filipova Huť,Filipova Huť,TOTAL
Frantoly,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,C1FRAN01,14.100278,48.9825,726.0,Frantoly,Frantoly,MSS
Frýdek-Místek. Sviadnov,"Frýdek-Místek, Sviadnov","Frýdek-Místek, Sviadnov",O1FMSV01,18.32057,49.7012208,270.0,Frýdek-Místek,Frýdek-Místek. Sviadnov,AKS4
Frýdlant,Frýdlant,Frýdlant,U2FRYD01,15.09015,50.91785,337.0,Frýdlant,Frýdlant,AKS
Gajer. Janov,"Gajer, Janov","Gajer, Janov",H3GAJE01,16.406667,49.824722,510.0,Gajer,Gajer. Janov,AKS2
Habry,Habry,Habry,P3HABR01,15.486748,49.751989,470.0,Habry,Habry,ASS
Hanušovice,Hanušovice,Hanušovice,O2HANU01,16.940556,50.0819,432.0,Hanušovice,Hanušovice,AKS3
Harrachov,Harrachov,Harrachov,P2HARR01,15.420036,50.781746,675.0,Harrachov,Harrachov,AKS1
Havlíčkův Brod,Havlíčkův Brod,Havlíčkův Brod,P3HAVL01,15.579696,49.61188,452.0,Havlíčkův Brod,Havlíčkův Brod,AKS1
Hejnice,Hejnice,Hejnice,U2HEJN01,15.18317,50.88456,396.0,Hejnice,Hejnice,AKS2
Heřmanov,Heřmanov,Heřmanov,L2HERM01,13.57133,50.148529,407.0,Heřmanov,Heřmanov,AKS2
Heřmanův Městec,Heřmanův Městec,Heřmanův Městec,H3HERM01,15.673986,49.946639,275.0,Heřmanův Městec,Heřmanův Městec,ASS
Hladké Životice,Hladké Životice,Hladké Životice,O1HZIV01,17.949444,49.690556,256.0,Hladké Životice,Hladké Životice,AKS
Hlasivo,Hlasivo,Hlasivo,C2HLAS01,14.7561,49.4981,547.0,Hlasivo,Hlasivo,AKS2
Hluboká nad Vltavou,Hluboká nad Vltavou,Hluboká nad Vltavou,C1HLUB01,14.4356,49.0542,410.0,Hluboká nad Vltavou,Hluboká nad Vltavou,ASS
Hluk,Hluk,Hluk,B1HLUK01,17.538,48.9863,225.0,Hluk,Hluk,ASS
Hojsova Stráž,Hojsova Stráž,Hojsova Stráž,L1HOJS01,13.197146,49.212473,866.0,Hojsova Stráž,Hojsova Stráž,AKS2
Holenice,Holenice,Holenice,P2HOLE01,15.302136,50.53026,423.0,Holenice,Holenice,AKS1
Holešov,Holešov,Holešov,B1HOLE01,17.57,49.320556,222.25,Holešov,Holešov,AMS1
Holovousy,Holovousy,Holovousy,H3HOLO01,15.5810108,50.375735,321.0,Holovousy,Holovousy,AKS1
Horní Bečva,Horní Bečva,Horní Bečva,O3BECV01,18.2983,49.4311,565.0,Horní Bečva,Horní Bečva,AKS4
Horní Lhota,Horní Lhota,Horní Lhota,B1HLHO01,17.8033,49.155,348.0,Horní Lhota,Horní Lhota,ASS
Horní Lomná,Horní Lomná,Horní Lomná,O1HOLO01,18.637779,49.534088,582.0,Horní Lomná,Horní Lomná,AKS3
Horní Maršov,Horní Maršov,Horní Maršov,H1HMAR01,15.818973,50.654577,585.0,Horní Maršov,Horní Maršov,ASS
Horská Kvilda,"Horská Kvilda, u Hamerského potoka",Horská Kvilda,C1HKVI01,13.56502,49.053673,1052.0,Horská Kvilda,Horská Kvilda,AKS3
Horšovský Týn,Horšovský Týn,Horšovský Týn,L1HTYN01,12.943746,49.528213,374.0,Horšovský Týn,Horšovský Týn,ASS
Hostinné,Hostinné,Hostinné,H1HOST01,15.7201375,50.5400231,351.0,Hostinné,Hostinné,ASS
Hošťálková,Hošťálková,Hošťálková,O3HOST01,17.8683,49.3514,385.0,Hošťálková,Hošťálková,AKS4
Hošťálková. Maruška,"Hošťálková, Maruška","Hošťálková, Maruška",O3MARU01,17.8286,49.3653,664.1,Hošťálková,Hošťálková. Maruška,AKS2
Hoštejn,Hoštejn,Hoštejn,O2HOSJ01,16.7688722,49.875125,305.0,Hoštejn,Hoštejn,ASS
Hradec Králové. Nový Hradec Králové,"Hradec Králové, Nový Hradec Králové",Nový Hradec Králové,H3HRAD01,15.838452,50.177649,278.0,Hradec Králové,Hradec Králové. Nový Hradec Králové,AKS1
Hradec Králové. Svobodné Dvory,"Hradec Králové, Svobodné Dvory","Hradec Králové, Svobodné Dvory",H3SVOD01,15.787757,50.223004,240.0,Hradec Králové,Hradec Králové. Svobodné Dvory,AKS1
Hradec nad Svitavou,Hradec nad Svitavou,Hradec nad Svitavou,B2HRAS01,16.4875,49.7311,446.0,Hradec nad Svitavou,Hradec nad Svitavou,ASS
Hrob. Křižanov,"Hrob, Křižanov","Hrob, Křižanov",U1HROB01,13.71953,50.654,360.0,Hrob,Hrob. Křižanov,ASS
Hrochův Týnec,Hrochův Týnec,Hrochův Týnec,H3HRTY01,15.909774,49.962057,241.0,Hrochův Týnec,Hrochův Týnec,ASS
Hrušová,Hrušová,Hrušová,H3HRUS01,16.19522,49.916667,291.0,Hrušová,Hrušová,AKS1
Hřivice,Hřivice,Hřivice,U1HRIV01,13.732,50.292153,270.0,Hřivice,Hřivice,ASS
Hubenov,Hubenov,Hubenov,B2HUBE01,15.4669,49.3931,570.0,Hubenov,Hubenov,AKS1
Hudlice,Hudlice,Hudlice,P1HUDL01,13.96477,49.96121,449.0,Hudlice,Hudlice,ASS
Hulice,Hulice,Hulice,P3HULI01,15.086667,49.721111,375.0,Hulice,Hulice,AKS4
Humpolec,Humpolec,Humpolec,P3HUMP02,15.353256,49.535216,540.0,Humpolec,Humpolec,ASS
Husinec,Husinec,Husinec,C1HUSI01,13.9883,49.0522,483.0,Husinec,Husinec,AKS1
Huslenky. Kychová,"Huslenky, Kychová","Huslenky, Kychová",O3HUSL01,18.1261,49.3,450.0,Huslenky,Huslenky. Kychová,ASS
Hvozdec. Mrtník,"Hvozdec, Mrtník","Hvozdec, Mrtník",P1HVOZ01,13.872083,49.798186,425.0,Hvozdec,Hvozdec. Mrtník,ASS
Chanovice,Chanovice,Chanovice,C1CHAN01,13.7194,49.4019,533.0,Chanovice,Chanovice,ASS
Cheb,Cheb,Cheb,L3CHEB01,12.391389,50.068333,483.0,Cheb,Cheb,AMS1
Chelčice,Chelčice,Chelčice,C1CHEL01,14.169367,49.119265,451.0,Chelčice,Chelčice,ASS
Chlum u Třeboně,Chlum u Třeboně,Chlum u Třeboně,C2CHLT01,14.935278,48.958056,462.0,Chlum u Třeboně,Chlum u Třeboně,ASS
Choceň,Choceň,Choceň,H2CHOC01,16.200903,50.009544,282.0,Choceň,Choceň,ASS
Chotusice. letiště,"Chotusice, letiště","Chotusice, letiště",H3CHTU01,15.386389,49.940833,238.2,Chotusice,Chotusice. letiště,AMS
Chotyně,Chotyně,Chotyně,U2CHOT01,14.87175,50.83897,260.0,Chotyně,Chotyně,ASS
Chrastava,Chrastava,Chrastava,U2CHRV01,14.95861,50.81872,314.0,Chrastava,Chrastava,ASS
Chudenice,Chudenice,Chudenice,L1CHUD01,13.176262,49.465405,490.0,Chudenice,Chudenice,ASS
Chuchelná,Chuchelná,Chuchelná,O1CHLN01,18.119769,49.991679,258.0,Chuchelná,Chuchelná,AKS4
Churáňov,Churáňov,Churáňov,C1CHUR01,13.615278,49.068333,1117.8,Churáňov,Churáňov,AMS1
Ivanovice na Hané,Ivanovice na Hané,Ivanovice na Hané,B1IVAN01,17.0894,49.3092,243.0,Ivanovice na Hané,Ivanovice na Hané,AKS2
Jablonec nad Nisou,Jablonec nad Nisou,Jablonec nad Nisou,U2JANI01,15.17959,50.72922,495.0,Jablonec nad Nisou,Jablonec nad Nisou,ASS
Jablonné v Podještědí,Jablonné v Podještědí,Jablonné v Podještědí,U2JAPO01,14.77375,50.77206,320.0,Jablonné v Podještědí,Jablonné v Podještědí,AKS2
Jaroslavice,"Jablunkov, Návsí","Jablunkov, Návsí",B2JARS01,16.2325,48.7553,190.0,Jaroslavice,Jaroslavice,MSS
Javorník,Javorník,Javorník,O1JAVO01,17.0075,50.3956,284.0,Javorník,Javorník,AKS1
Jelení. Nová Pec,"Jelení, Nová Pec","Jelení, Nová Pec",C1JELE01,13.8897,48.8031,810.0,Jelení,Jelení. Nová Pec,ASS
Jemnice,Jemnice,Jemnice,B2JEMN01,15.59,49.025,502.0,Jemnice,Jemnice,ASS
Jeseník,Jeseník,Jeseník,O1JESE01,17.183333,50.231111,502.0,Jeseník,Jeseník,AKS2
Jevíčko,Jevíčko,Jevíčko,O2JEVI01,16.7055,49.6309,362.0,Jevíčko,Jevíčko,AKS4
Jičín,Jičín,Jičín,H3JICI01,15.352626,50.439511,283.0,Jičín,Jičín,AKS1
Jihlava. Hruškové Dvory,"Jihlava, Hruškové Dvory","Jihlava, Hruškové Dvory",B2JIHL01,15.6164,49.4064,468.0,Jihlava,Jihlava. Hruškové Dvory,AKS3
Jindřichův Hradec. Děbolín,"Jindřichův Hradec, Děbolín","Jindřichův Hradec, Děbolín",C2JHRA01,14.9575,49.1556,524.0,Jindřichův Hradec,Jindřichův Hradec. Děbolín,AKS1
Josefův Důl,Josefův Důl,Josefův Důl,P2JDUL01,15.22859,50.778185,623.0,Josefův Důl,Josefův Důl,ASS
Kadov,Kadov,Kadov,B2KADO01,16.07777778,49.6351314,672.0,Kadov,Kadov,ASS
Kamenice nad Lipou. Vodná,"Kamenice nad Lipou, Vodná","Kamenice nad Lipou, Vodná",C2KAML01,15.0633,49.2831,557.0,Kamenice nad Lipou,Kamenice nad Lipou. Vodná,ASS
Kamýk nad Vltavou,Kamýk nad Vltavou,Kamýk nad Vltavou,P1KAMY01,14.24637,49.63234,280.0,Kamýk nad Vltavou,Kamýk nad Vltavou,ASS
Káraný,Káraný,Káraný,P2NVES01,14.731428,50.175931,170.0,Káraný,Káraný,ASS
Karlova Studánka,Karlova Studánka,Karlova Studánka,O1KAST01,17.306832,50.074053,795.0,Karlova Studánka,Karlova Studánka,AKS3
Karlova Ves,Karlova Ves,Karlova Ves,L2KVES01,13.861277,49.990212,405.0,Karlova Ves,Karlova Ves,ASS
Karlovice,Karlovice,Karlovice,O1KARL01,17.4510033,50.0936408,467.0,Karlovice,Karlovice,ASS
Karlovy Vary,Karlovy Vary,Karlovy Vary,L3KVAZ01,12.878151,50.227229,377.0,Karlovy Vary,Karlovy Vary,AKS4
Karlovy Vary. Olšová Vrata,"Karlovy Vary, Olšová Vrata","Karlovy Vary, Olšová Vrata",L3KVAL01,12.914167,50.201667,603.0,Karlovy Vary,Karlovy Vary. Olšová Vrata,AMS
Karviná,Karviná,Karviná,O1KARV01,18.5332,49.8549,224.0,Karviná,Karviná,AKS2
Kašperské Hory,Kašperské Hory,Kašperské Hory,C1KHOR01,13.55,49.145556,728.0,Kašperské Hory,Kašperské Hory,AKS
Kateřinice. Ojičná,"Kateřinice, Ojičná","Kateřinice, Ojičná",O3KATE01,17.873311,49.400762,585.0,Kateřinice,Kateřinice. Ojičná,AKS
Katusice,Katusice,Katusice,P2KATU01,14.779398,50.444653,312.0,Katusice,Katusice,AKS2
Kestřany,Kestřany,Kestřany,C1KEST01,14.0736,49.2681,381.0,Kestřany,Kestřany,ASS
Klatovy,Klatovy,Klatovy,L1KLAT01,13.303016,49.39042,421.0,Klatovy,Klatovy,AKS1
Klínovec,Klínovec,Klínovec,L3KLIN01,12.967957,50.3948,1236.0,Klínovec,Klínovec,AKS2
Klíny,Klíny,Klíny,U1KLIN01,13.55153,50.63875,807.0,Klíny,Klíny,ASS
Kobylí,Kobylí,Kobylí,B2KOBY01,16.8814,48.9394,175.0,Kobylí,Kobylí,AKS1
Kocelovice,Kocelovice,Kocelovice,C1KOCE01,13.838611,49.467222,519.0,Kocelovice,Kocelovice,AMS1
Kojetín,Kojetín,Kojetín,B1KOJE01,17.2944,49.3527,203.0,Kojetín,Kojetín,ASS
Konárovice,Konárovice,Konárovice,H3KONA01,15.284988,50.03844,209.0,Konárovice,Konárovice,ASS
Konstantinovy Lázně,Konstantinovy Lázně,Konstantinovy Lázně,L2KONL01,12.975956,49.884787,530.0,Konstantinovy Lázně,Konstantinovy Lázně,AKS1
Kopisty,Kopisty,Kopisty,U1KOPI01,13.62278,50.54417,240.0,Kopisty,Kopisty,AMS1
Kořenov. Jizerská cesta,"Kořenov, Jizerská cesta","Kořenov, Jizerská cesta",P4KJIC01,15.304489,50.840495,920.0,Kořenov,Kořenov. Jizerská cesta,ASS
Kostelní Myslová,Kostelní Myslová,Kostelní Myslová,B2KMYS01,15.439167,49.159167,569.0,Kostelní Myslová,Kostelní Myslová,AMS1
